Group,Quarter_Num,Sunset_GPA,A_share,B_share,C_share,DF_share,RMP_Difficulty,RMP_Quality,RMP_Review_Count,CAPES_Study_Hours,CAPES_GPA,CAPES_Count
Languages & Linguistics,2024.0,55.76486251869934,0.6603206412825652,0.18837675350701402,0.1092184368737475,0.04208416833667335,2.388888888888889,4.555555555555555,18,,,
Languages & Linguistics,2024.25,37.80029736879997,0.7058823529411765,0.22722029988465975,0.03806228373702422,0.02883506343713956,2.2857142857142856,4.571428571428571,7,,,
Languages & Linguistics,2024.75,39.53217704094253,0.4789311408016444,0.3391572456320658,0.13257965056526208,0.04933196300102775,2.2777777777777777,4.888888888888889,18,,,
Languages & Linguistics,2025.0,31.966810744810747,0.6918604651162791,0.25,0.046511627906976744,0.011627906976744186,2.4761904761904763,4.0,42,,,
Languages & Linguistics,2025.25,36.26433495085231,0.5963302752293578,0.21788990825688073,0.11238532110091744,0.07339449541284404,2.3461538461538463,4.5,26,,,
Languages & Linguistics,2025.75,13.563532763532764,0.6666666666666666,0.18518518518518517,0.12345679012345678,0.024691358024691357,2.642857142857143,3.7857142857142856,28,,,
Social Sciences,2019.75,5.72973544973545,0.3933933933933934,0.3333333333333333,0.18018018018018017,0.09309309309309309,3.4727272727272727,3.909090909090909,55,,,
Social Sciences,2020.25,7.343525179856115,0.8653421633554084,0.10375275938189846,0.026490066225165563,0.004415011037527594,2.9452054794520546,3.863013698630137,73,4.798176795580111,3.358839779005525,181.0
Social Sciences,2020.75,19.39885167485248,0.762114537444934,0.11674008810572688,0.05286343612334802,0.06828193832599119,2.96,4.096,125,,,
Social Sciences,2021.0,22.50063688966392,0.9534220532319392,0.03231939163498099,0.005703422053231939,0.008555133079847909,3.1574074074074074,3.6574074074074074,108,5.472247191011236,3.3642696629213487,178.0
Social Sciences,2021.25,20.643538475819177,0.6860986547085202,0.23318385650224216,0.033632286995515695,0.04708520179372197,3.3333333333333335,3.738095238095238,84,5.355170454545455,3.476590909090909,176.0
Social Sciences,2021.75,71.52083299742034,0.5345911949685535,0.2830188679245283,0.1361450240473548,0.04624491305956345,3.1746031746031744,3.761904761904762,63,,,
Social Sciences,2022.0,63.07718490466996,0.6748695003728561,0.18232662192393737,0.10514541387024609,0.037658463832960475,2.988095238095238,3.9166666666666665,84,5.330391061452514,3.242178770949721,179.0
Social Sciences,2022.25,68.71928196715892,0.7048639736191261,0.18054410552349548,0.0717230008244023,0.04286892003297609,2.9206349206349205,4.079365079365079,63,5.338089887640449,3.3271910112359553,178.0
